"country","department","municipality","scale","COD","year","malaria_pVivax","malaria_pFalci"
"Venezuela","Bolivar/RAUL LEONI","BARCELONETA","parroquia","VE070702",1997,1076,305
"Venezuela","Bolivar/CEDEÑO","PIJIGUAOS","parroquia","VE070206",1997,0,0
"Venezuela","Bolivar/SIFONTES","SAN ISIDRO","parroquia","VE070903",1997,125,0
"Venezuela","Bolivar/GRAN SABANA","SECCION CAPITAL GRAN SABANA","parroquia","VE070401",1997,792,294
"Venezuela","Bolivar/GRAN SABANA","IKABARU","parroquia","VE070402",1997,0,0
"Venezuela","Bolivar/CARONI","ONCE DE ABRIL","parroquia","VE070104",1998,0,0
"Venezuela","Bolivar/PADRE PEDRO CHIEN","C. P. P. CHIEN","parroquia","VE071101",1998,0,0
"Venezuela","Bolivar/CARONI","SIMON BOLIVAR","parroquia","VE070105",1998,0,0
"Venezuela","Bolivar/CARONI","VISTA AL SOL","parroquia","VE070108",1998,0,0
"Venezuela","Bolivar/CARONI","YOCOIMA","parroquia","VE070110",1998,0,0
"Venezuela","Bolivar/PIAR","SECCION CAPITAL PIAR","parroquia","VE070601",1998,0,0
"Venezuela","Bolivar/CARONI","CHIRICA","parroquia","VE070102",1998,0,0
"Venezuela","Bolivar/CARONI","DALLA COSTA","parroquia","VE070103",1998,0,0
"Venezuela","Bolivar/CARONI","UNARE","parroquia","VE070106",1998,0,0
"Venezuela","Bolivar/HERES","PANAPANA","parroquia","VE070508",1998,0,0
"Venezuela","Bolivar/CARONI","CACHAMAY","parroquia","VE070101",1998,0,0
"Venezuela","Bolivar/CARONI","UNIVERSIDAD","parroquia","VE070107",1998,0,0
"Venezuela","Bolivar/CARONI","POZO VERDE","parroquia","VE070109",1998,0,0
"Venezuela","Bolivar/HERES","MARHUANTA","parroquia","VE070505",1998,0,0
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",1998,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",1998,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",1998,0,0
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",1998,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",1998,0,0
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",1998,0,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",1998,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",1998,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",1998,0,0
"Venezuela","Bolivar/SIFONTES","SECCION CAPITAL SIFONTES","parroquia","VE070901",1998,0,0
"Venezuela","Bolivar/RAUL LEONI","S. C. RAUL LEONI","parroquia","VE070701",1998,0,0
"Venezuela","Bolivar/ROSCIO","SALOM","parroquia","VE070802",1998,0,0
"Venezuela","Bolivar/CEDEÑO","ALTAGRACIA","parroquia","VE070202",1998,0,0
"Venezuela","Bolivar/CEDEÑO","ASCENCION FARRERAS","parroquia","VE070203",1998,126,243
"Venezuela","Bolivar/PIAR","PEDRO COVA","parroquia","VE070603",1998,140,133
"Venezuela","Bolivar/ROSCIO","S. C. ROSCIO","parroquia","VE070801",1998,0,0
"Venezuela","Bolivar/SUCRE","LAS MAJADAS","parroquia","VE071004",1998,502,516
"Venezuela","Bolivar/CEDEÑO","SECCION CAPITAL CEDEÑO","parroquia","VE070201",1998,67,106
"Venezuela","Bolivar/EL CALLAO","C. EL CALLAO","parroquia","VE070301",1998,0,0
"Venezuela","Bolivar/RAUL LEONI","SANTA BARBARA","parroquia","VE070704",1998,0,0
"Venezuela","Bolivar/SUCRE","GUARATARO","parroquia","VE071003",1998,0,0
"Venezuela","Bolivar/SUCRE","S. C. SUCRE","parroquia","VE071001",1998,0,0
"Venezuela","Bolivar/RAUL LEONI","SAN FRANCISCO","parroquia","VE070703",1998,0,0
"Venezuela","Bolivar/SUCRE","ARIPAO","parroquia","VE071002",1998,2,0
"Venezuela","Bolivar/CEDEÑO","LA URBANA","parroquia","VE070205",1998,87,22
"Venezuela","Bolivar/SIFONTES","DALLA COSTA","parroquia","VE070902",1998,2184,1694
"Venezuela","Bolivar/CEDEÑO","GUANIAMO","parroquia","VE070204",1998,0,0
"Venezuela","Bolivar/RAUL LEONI","BARCELONETA","parroquia","VE070702",1998,690,243
"Venezuela","Bolivar/CEDEÑO","PIJIGUAOS","parroquia","VE070206",1998,0,0
"Venezuela","Bolivar/SIFONTES","SAN ISIDRO","parroquia","VE070903",1998,0,0
"Venezuela","Bolivar/GRAN SABANA","SECCION CAPITAL GRAN SABANA","parroquia","VE070401",1998,1493,535
"Venezuela","Bolivar/GRAN SABANA","IKABARU","parroquia","VE070402",1998,0,0
"Venezuela","Bolivar/CARONI","ONCE DE ABRIL","parroquia","VE070104",1999,0,0
